Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
1.031985,5.149047,0.007541,1.148083,8.667629,0.012534,0.002281,0.004484,2.284725,
1.035571,4.720073,0.007475,1.370549,11.045612,0.009516,0.004231,0.005905,1.668846,
1.06825,5.516063,0.011136,0.998809,27.38224,0.011502,0.015878,0.00496,4.240348,
1.07395,4.704551,-0.000396,1.499761,4.299478,0.0072,0.014281,0.004468,3.88546,
1.054974,4.755258,-0.002148,1.398945,2.111677,0.010478,0.002904,0.004021,4.855421,
1.067239,5.097368,0.008607,1.060329,3.02557,0.008213,0.009635,0.005945,5.543567,
1.093356,4.735879,-0.001117,1.667226,3.941191,0.036503,0.002537,0.004516,2.811092,
1.033007,4.875773,0.016041,1.2558,2.84853,0.010582,0.002012,0.003965,2.812092,
1.05183,4.706224,0.009615,1.011562,4.300233,0.007173,0.006763,0.005674,3.896692,
1.199622,4.055151,0.014809,1.193354,3.490391,0.011255,0.010568,0.005787,1.68825,
1.043009,5.181098,0.005383,1.766764,3.122839,0.009099,0.002729,0.004359,2.577481,
1.045499,5.071123,-0.101656,1.339467,3.0583,0.013353,0.005861,0.003468,2.282202,
1.152351,5.042426,0.001134,1.252209,3.074739,0.01985,0.004638,0.006918,3.793356,
1.038116,4.734843,0.007324,1.014691,3.365402,0.006799,0.142448,0.003628,3.958615,
1.025818,5.143314,0.012941,2.13605,1.826134,0.01122,0.005482,0.00394,2.977437,
1.033968,4.745053,-0.009086,2.005453,13.767497,0.035846,0.002239,0.005186,1.557373,
1.073445,4.761646,0.012632,4.555359,1.957779,0.014559,0.002286,0.005067,6.583944,
1.036608,4.706187,0.01108,1.032615,3.237655,0.459549,0.006898,0.004564,3.277663,
1.028953,4.799367,0.004897,1.447416,2.486845,0.009578,0.00554,0.007585,3.050611,
1.039846,4.706667,0.009068,1.381439,2.972463,0.008564,0.002286,0.008306,4.094391,
1.042152,5.004846,0.011313,1.359598,2.882879,0.012666,0.002534,0.005641,1.632516,
1.02824,5.38881,-0.092436,1.003742,11.589956,0.011148,0.004586,0.003361,3.543244,
1.042211,4.154239,0.016249,1.668624,28.100224,0.009144,0.00166,0.005066,3.609817,
1.039136,4.755438,-0.005383,0.980058,12.495078,0.012009,0.015901,0.003142,-26.478129,
1.029138,4.745215,0.006504,1.531976,237.994127,0.015282,0.002111,0.003564,2.231655,
1.04175,5.115246,0.012968,1.19373,63.544997,0.00904,0.003004,0.003211,1.609704,
1.028991,4.736889,26.480886,1.436434,28.195594,0.014225,0.006256,-30.481777,3.546491,
1.029133,5.05124,0.006178,1.354813,30.032896,0.012565,0.004621,0.003433,4.28835,
1.172348,4.729977,0.010923,1.383467,4.483358,0.017837,0.034029,0.005506,3.282499,
1.035482,4.773159,30.480832,1.523867,28.962596,0.01078,0.014833,0.008556,5.608734,
1.137124,5.955987,0.009105,1.650719,31.024586,0.01114,0.021698,0.007301,4.857249,
1.027373,751.189533,0.008437,1.311505,4.365056,0.0134,0.011333,0.005441,7.379298,
1.212965,4.744716,167.897759,1.596136,5.509175,0.010278,0.033342,0.004312,3.891795,
1.063289,4.756561,0.016496,1.364909,2.399573,0.008238,0.005797,0.006558,3.097634,
1.052515,5.406563,0.019963,1.153495,3.138593,0.011141,0.002961,0.003698,1.761846,
4120.747407,4.743118,0.007293,1.332724,36.015441,0.009638,0.148326,0.011154,3.281664,
1.04943,5.008184,0.011855,2.793896,13.977679,0.008732,0.023143,0.004317,3.237522,
1.0352,4.717413,0.009018,1.657961,-6151.222932,0.010339,0.004754,0.004362,1.54303,
1.049026,5.298719,-0.013204,1.514374,1.264534,0.009562,0.001694,0.008665,5.89973,
